epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2501,0.95119,2.19515,1.13133,0.95339,0.88315,0.92246,0.70797,0.6678,1.68891,0.91422,6.668e-05,6.668e-05,6.668e-05
2,88.441,0.83205,1.32142,1.05951,0.9415,0.92335,0.93689,0.78233,0.62607,2.45755,0.91367,0.000149535,0.000149535,0.000149535
3,130.094,0.75095,1.09343,1.05462,0.9525,0.91643,0.93402,0.725,0.68419,1.53059,0.93768,0.00023184,0.00023184,0.00023184
4,171.441,0.78152,1.15139,1.03907,0.95303,0.90283,0.9588,0.76867,0.666,1.389,0.92333,0.000313594,0.000313594,0.000313594
5,212.527,0.6781,0.99397,0.99379,0.91655,0.92073,0.96336,0.74022,0.69021,2.1601,0.92825,0.000394799,0.000394799,0.000394799
6,253.193,0.69961,0.83866,1.02695,0.95895,0.92793,0.96487,0.80459,0.60247,1.1717,0.90508,0.000475453,0.000475453,0.000475453
7,293.702,0.73849,0.76719,1.01502,0.93615,0.91683,0.9494,0.7654,0.69181,1.3167,0.93276,0.000555558,0.000555558,0.000555558
8,334.681,0.82637,0.88167,1.05649,0.83292,0.71403,0.81603,0.55427,0.99791,2.79966,1.15612,0.000635112,0.000635112,0.000635112
9,375.551,0.80838,0.79428,1.0439,0.87217,0.90741,0.95949,0.78171,0.64339,1.20945,0.92817,0.000714116,0.000714116,0.000714116
10,415.414,0.79577,0.78019,1.02037,0.90165,0.92831,0.95417,0.77332,0.661,1.16643,0.97408,0.00079257,0.00079257,0.00079257
11,455.077,0.73243,0.80877,1.00606,0.68288,0.81582,0.94721,0.76375,0.72909,2.21351,1.02178,0.000870474,0.000870474,0.000870474
12,495.137,0.76047,0.74338,1.02652,0.90125,0.95098,0.97036,0.77189,0.75108,1.92873,1.01583,0.000947828,0.000947828,0.000947828
13,535.025,0.85512,0.68252,1.0729,0.83435,0.9168,0.91928,0.63592,1.06561,2.07949,1.26383,0.00102463,0.00102463,0.00102463
14,574.933,0.78812,0.69514,1.02955,0.93114,0.95119,0.96363,0.7843,0.7207,1.17598,0.9915,0.00110089,0.00110089,0.00110089
15,615.077,0.7667,0.69409,1.01004,0.9552,0.95526,0.96945,0.79188,0.71876,0.86929,1.01721,0.00117659,0.00117659,0.00117659
16,655.21,0.80402,0.62315,1.02641,0.94767,0.94244,0.968,0.78261,0.79998,1.14355,1.07427,0.00125174,0.00125174,0.00125174
17,694.961,0.71284,0.63745,1.03516,0.84975,0.80453,0.88355,0.64936,1.02767,1.6522,1.26374,0.00132635,0.00132635,0.00132635
18,735.134,0.78312,0.68991,1.02545,0.74983,0.63849,0.70712,0.55739,1.07713,1.66809,1.27406,0.0014004,0.0014004,0.0014004
19,775.496,0.75791,0.6738,1.04015,0.67327,0.73295,0.72929,0.56872,0.9978,1.28838,1.19707,0.0014739,0.0014739,0.0014739
20,815.954,0.69546,0.59093,1.00119,0.92453,0.91667,0.94947,0.7709,0.92007,1.21116,1.12151,0.00154685,0.00154685,0.00154685
21,857.588,0.79812,0.71684,1.06722,0.87132,0.74285,0.86332,0.62834,1.24132,1.46796,1.6333,0.00155698,0.00155698,0.00155698
22,898.626,0.73011,0.65206,1.01085,0.70056,0.88914,0.87082,0.63357,1.22364,1.91089,1.58288,0.00155148,0.00155148,0.00155148
23,940.095,0.72996,0.58371,1.03663,0.89598,0.9659,0.97075,0.79595,0.83255,1.4409,1.07194,0.00154598,0.00154598,0.00154598
24,980.481,0.74652,0.6244,1.03365,0.93171,0.96456,0.97482,0.78795,0.71982,1.44393,0.99287,0.00154047,0.00154047,0.00154047
